stateProvince,lat,long,geoCoordinate,scientificName,vernacularName,countryConservation
New South Wales,-30.46553103,152.534038,"[-30.4655310270749,152.534038]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81153303,151.301092,"[-33.8115330321816,151.301092]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81422403,151.299364,"[-33.8142240321854,151.299364]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81892103,151.299249,"[-33.8189210321921,151.299249]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81422403,151.299364,"[-33.8142240321854,151.299364]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-32.97363003,150.57507,"[-32.9736300309675,150.57507]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.26924304,149.907774,"[-37.2692430365387,149.907774]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
New South Wales,-37.22502504,149.976715,"[-37.2250250364907,149.976715]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
New South Wales,-33.62780703,151.325035,"[-33.6278070319199,151.325035]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.60200303,151.321786,"[-33.6020030318829,151.321786]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81422403,151.299364,"[-33.8142240321854,151.299364]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-32.29229903,151.962591,"[-32.2922990299446,151.962591]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81422403,151.299364,"[-33.8142240321854,151.299364]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81739103,151.291695,"[-33.8173910321899,151.291694999999]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.82009103,151.29847,"[-33.8200910321937,151.29847]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-30.56674003,152.26593,"[-30.5667400272378,152.26593]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81423903,151.30174,"[-33.8142390321854,151.30174]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81436903,151.295483,"[-33.8143690321856,151.295483]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81422403,151.299364,"[-33.8142240321854,151.299364]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81180403,151.301745,"[-33.811804032182,151.301745]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.20320004,149.96149,"[-37.2032000364669,149.96149]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.28649504,149.88406,"[-37.2864950365573,149.88406]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
New South Wales,-32.12374003,152.28649,"[-32.1237400296871,152.28649]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81195003,151.30209,"[-33.8119500321822,151.30209]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.60143503,151.323014,"[-33.6014350318821,151.323014]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-35.60053003,149.91688,"[-35.6005300345814,149.91688]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81422403,151.299364,"[-33.8142240321854,151.299364]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81180403,151.301745,"[-33.811804032182,151.301745]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81714303,151.298485,"[-33.8171430321896,151.298484999999]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-35.68478003,148.484325,"[-35.6847800346872,148.484325]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-32.12374003,152.28649,"[-32.1237400296871,152.28649]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-33.81895203,151.299708,"[-33.8189520321921,151.299708]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81423903,151.30174,"[-33.8142390321854,151.30174]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-28.61001002,152.49055,"[-28.6100100240327,152.49055]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-33.81422403,151.299364,"[-33.8142240321854,151.299364]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81078603,151.292712,"[-33.8107860321805,151.292712]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.20320004,149.96149,"[-37.2032000364669,149.96149]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81423903,151.30174,"[-33.8142390321854,151.30174]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-28.61094002,152.48651,"[-28.6109400240342,152.48651]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.60597703,151.327512,"[-33.6059770318886,151.327512]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-28.61264002,152.48999,"[-28.612640024037,152.48999]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-33.81635203,151.298036,"[-33.8163520321884,151.298036]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81422403,151.299364,"[-33.8142240321854,151.299364]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-32.30060103,151.949857,"[-32.3006010299572,151.949857]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-37.30618204,149.781109,"[-37.3061820365785,149.781109]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
New South Wales,-33.81423903,151.30174,"[-33.8142390321854,151.30174]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81662503,151.293007,"[-33.8166250321888,151.293007]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-30.68125003,152.44077,"[-30.6812500274217,152.44077]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81422303,151.299331,"[-33.8142230321854,151.299331]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.39058404,149.881244,"[-37.3905840366691,149.881244]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
New South Wales,-33.81422403,151.299364,"[-33.8142240321854,151.299364]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-32.30060103,151.949857,"[-32.3006010299572,151.949857]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-33.81682203,151.298113,"[-33.8168220321891,151.298113]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81423903,151.30174,"[-33.8142390321854,151.30174]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.13117804,149.951097,"[-37.1311780363882,149.951097]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81190803,151.302726,"[-33.8119080321821,151.302726]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81319903,151.302204,"[-33.813199032184,151.302204]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.28039804,149.797255,"[-37.2803980365507,149.797255]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
New South Wales,-33.81422403,151.299364,"[-33.8142240321854,151.299364]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-28.30634002,153.56539,"[-28.3063400235281,153.56539]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-28.59645002,153.56496,"[-28.5964500240102,153.56496]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81423903,151.30174,"[-33.8142390321854,151.30174]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.80421403,151.295425,"[-33.8042140321712,151.295424999999]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81282703,151.300104,"[-33.8128270321834,151.300104]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81444803,151.295362,"[-33.8144480321857,151.295362]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81694303,151.295151,"[-33.8169430321893,151.295151]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81422403,151.299364,"[-33.8142240321854,151.299364]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-31.61199003,152.41014,"[-31.6119900288953,152.41014]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.80517903,151.296745,"[-33.8051790321726,151.296745]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81043903,151.300875,"[-33.8104390321801,151.300875]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81443503,151.301585,"[-33.8144350321857,151.301585]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.19060404,149.956203,"[-37.1906040364532,149.956203]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81444803,151.295362,"[-33.8144480321857,151.295362]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-30.01381003,152.17564,"[-30.013810026343,152.17564]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-33.81420203,151.30173,"[-33.8142020321854,151.301729999999]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-31.33574503,151.905259,"[-31.3357450284622,151.905259]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81865903,151.294652,"[-33.8186590321917,151.294652]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.23467004,149.568601,"[-37.2346700365012,149.568601]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81443503,151.301585,"[-33.8144350321857,151.301585]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.41856604,149.951185,"[-37.4185660366989,149.951185]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81767303,151.291841,"[-33.8176730321903,151.291841]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.80324003,151.301309,"[-33.8032400321698,151.301309]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81659403,151.292716,"[-33.8165940321888,151.292716]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.80296103,151.293516,"[-33.8029610321695,151.293516]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-32.29369703,151.946273,"[-32.2936970299467,151.946273]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-33.81423903,151.30174,"[-33.8142390321854,151.30174]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.13117804,149.951097,"[-37.1311780363882,149.951097]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.39058404,149.881244,"[-37.3905840366691,149.881244]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
New South Wales,-33.81156003,151.30108,"[-33.8115600321816,151.30108]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81635203,151.298036,"[-33.8163520321884,151.298036]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-32.31491903,151.951201,"[-32.314919029979,151.951201]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-33.80499303,151.296338,"[-33.8049930321723,151.296338]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81443503,151.301585,"[-33.8144350321857,151.301585]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-31.84708003,151.61844,"[-31.8470800292608,151.61844]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.80421403,151.295425,"[-33.8042140321712,151.295424999999]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.80408103,151.2956,"[-33.804081032171,151.2956]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81767303,151.291841,"[-33.8176730321903,151.291841]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.12374604,149.946307,"[-37.12374603638,149.946307]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.29206404,149.884397,"[-37.2920640365633,149.884397]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
New South Wales,-37.18981404,149.770952,"[-37.1898140364524,149.770952]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81153303,151.301092,"[-33.8115330321816,151.301092]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-31.53022003,152.61499,"[-31.5302200287675,152.61499]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-31.49278003,152.8773,"[-31.4927800287089,152.8773]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-33.68238603,151.187106,"[-33.6823860319979,151.187106]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81767303,151.291841,"[-33.8176730321903,151.291841]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-32.28050203,151.931581,"[-32.2805020299266,151.931581]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-35.60053003,149.91688,"[-35.6005300345814,149.91688]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81739103,151.291695,"[-33.8173910321899,151.291694999999]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81153303,151.301092,"[-33.8115330321816,151.301092]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-31.84708003,151.61844,"[-31.8470800292608,151.61844]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-28.79006502,152.185607,"[-28.7900650243313,152.185607]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-34.50034903,150.563856,"[-34.5003490331388,150.563856]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-34.79817003,150.76524,"[-34.7981700335402,150.765239999999]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-32.29229903,151.962591,"[-32.2922990299446,151.962591]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-33.81707803,151.295141,"[-33.8170780321895,151.295141]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.22046304,150.014259,"[-37.2204630364857,150.014259]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
New South Wales,-33.81153303,151.301092,"[-33.8115330321816,151.301092]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-31.80535003,152.72804,"[-31.8053500291961,152.728039999999]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-33.81865903,151.294652,"[-33.8186590321917,151.294652]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.12923604,149.946588,"[-37.1292360363861,149.946587999999]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-32.30130003,151.8088,"[-32.3013000299583,151.8088]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-33.81422403,151.299361,"[-33.8142240321854,151.299361]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.19060404,149.956203,"[-37.1906040364532,149.956203]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
New South Wales,-37.27714804,149.803596,"[-37.2771480365472,149.803596]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81153303,151.301092,"[-33.8115330321816,151.301092]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-28.56684002,153.386737,"[-28.566840023961,153.386737]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81865903,151.294652,"[-33.8186590321917,151.294652]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.35381804,149.81102,"[-37.3538180366297,149.81102]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
New South Wales,-37.16962104,149.981565,"[-37.1696210364303,149.981565]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
New South Wales,-37.37799904,149.906134,"[-37.3779990366556,149.906134]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.41856604,149.951185,"[-37.4185660366989,149.951185]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81020703,151.299098,"[-33.8102070321797,151.299098]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81153303,151.301092,"[-33.8115330321816,151.301092]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81017303,151.29925,"[-33.8101730321797,151.29925]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.28437604,149.844689,"[-37.284376036555,149.844689]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81086003,151.299191,"[-33.8108600321807,151.299191]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.80320703,151.295617,"[-33.8032070321698,151.295617]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81917303,151.299882,"[-33.8191730321924,151.299882]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.19060404,149.956203,"[-37.1906040364532,149.956203]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81665003,151.292866,"[-33.8166500321889,151.292866]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81153303,151.301092,"[-33.8115330321816,151.301092]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-28.58654302,153.508213,"[-28.5865430239937,153.508213]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-37.27158804,149.747564,"[-37.2715880365412,149.747564]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81086003,151.299191,"[-33.8108600321807,151.299191]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.64363003,151.14695,"[-33.6436300319425,151.14695]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81223003,151.302558,"[-33.8122300321826,151.302558]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81431303,151.301933,"[-33.8143130321855,151.301933]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81843503,151.29807,"[-33.8184350321914,151.29807]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81016103,151.300298,"[-33.8101610321797,151.300298]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81659403,151.292716,"[-33.8165940321888,151.292716]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-29.47199803,152.31703,"[-29.4719980254568,152.317029999999]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81086003,151.299191,"[-33.8108600321807,151.299191]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81523203,151.302509,"[-33.8152320321869,151.302509]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81056803,151.29908,"[-33.8105680321802,151.29908]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-31.53022003,152.61499,"[-31.5302200287675,152.61499]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.80815703,151.292322,"[-33.8081570321768,151.292322]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.40580304,149.951,"[-37.4058030366853,149.951]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81455303,151.299001,"[-33.8145530321859,151.299001]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.60478803,151.323942,"[-33.6047880318869,151.323942]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81153303,151.301092,"[-33.8115330321816,151.301092]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.20304404,150.001744,"[-37.2030440364668,150.001744]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
New South Wales,-37.28975404,149.791839,"[-37.2897540365608,149.791839]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
New South Wales,-33.81324703,151.30244,"[-33.813247032184,151.30244]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81578803,151.294428,"[-33.8157880321876,151.294428]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81941303,151.289235,"[-33.8194130321928,151.289235]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-28.61264002,152.48999,"[-28.612640024037,152.48999]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-32.28050203,151.931581,"[-32.2805020299266,151.931581]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
New South Wales,-33.81153303,151.301092,"[-33.8115330321816,151.301092]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-37.25665904,149.631377,"[-37.256659036525,149.631377]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
New South Wales,-33.80601503,151.290668,"[-33.8060150321738,151.290668]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81434103,151.295461,"[-33.8143410321856,151.295461]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-33.81578803,151.294428,"[-33.8157880321876,151.294428]",Perameles nasuta,Long-nosed bandicoot,Not Listed
New South Wales,-31.48724003,152.88197,"[-31.4872400287002,152.88197]",Isoodon macrourus,Northern Brown Bandicoot,Least concern
